node,pos_x,pos_y,path_order,connection,connection_type,track_info,node_type,cluster
Danza Kuduro ,0.444505,0.499486,1,Danza Kuduro  - Don Omar,created,Flosstradamus: Lucenzo & Qwote feat. Pitbull & Don Omar - Danza Kuduro (Throw Your Hands Up),track_basic,-1
Don Omar,0.411304,0.551943,2,Danza Kuduro  - Don Omar,created,Flosstradamus: Lucenzo & Qwote feat. Pitbull & Don Omar - Danza Kuduro (Throw Your Hands Up),artist,-1
Danza Kuduro ,0.444505,0.499486,1,Danza Kuduro  - Flosstradamus,played,Flosstradamus: Lucenzo & Qwote feat. Pitbull & Don Omar - Danza Kuduro (Throw Your Hands Up),track_basic,-1
Flosstradamus,0.487756,0.395637,2,Danza Kuduro  - Flosstradamus,played,Flosstradamus: Lucenzo & Qwote feat. Pitbull & Don Omar - Danza Kuduro (Throw Your Hands Up),set_artist,1
Danza Kuduro ,0.444505,0.499486,1,Danza Kuduro  - Lucenzo,created,Flosstradamus: Lucenzo & Qwote feat. Pitbull & Don Omar - Danza Kuduro (Throw Your Hands Up),track_basic,-1
Lucenzo,0.415694,0.55502,2,Danza Kuduro  - Lucenzo,created,Flosstradamus: Lucenzo & Qwote feat. Pitbull & Don Omar - Danza Kuduro (Throw Your Hands Up),artist,-1
Danza Kuduro ,0.444505,0.499486,1,Danza Kuduro  - Pitbull,created,Flosstradamus: Lucenzo & Qwote feat. Pitbull & Don Omar - Danza Kuduro (Throw Your Hands Up),track_basic,-1
Pitbull,0.492323,0.470809,2,Danza Kuduro  - Pitbull,created,Flosstradamus: Lucenzo & Qwote feat. Pitbull & Don Omar - Danza Kuduro (Throw Your Hands Up),artist,-1
Danza Kuduro ,0.444505,0.499486,1,Danza Kuduro  - Qwote,created,Flosstradamus: Lucenzo & Qwote feat. Pitbull & Don Omar - Danza Kuduro (Throw Your Hands Up),track_basic,-1
Qwote,0.414775,0.554341,2,Danza Kuduro  - Qwote,created,Flosstradamus: Lucenzo & Qwote feat. Pitbull & Don Omar - Danza Kuduro (Throw Your Hands Up),artist,-1
ILIVEHERE.,0.662089,0.580595,1,ILIVEHERE. - Coming Home,created,San Holo: ILIVEHERE. - Coming Home,artist,-1
Coming Home,0.634814,0.529969,2,ILIVEHERE. - Coming Home,created,San Holo: ILIVEHERE. - Coming Home,track_basic,-1
You Got To Believe,0.376722,0.5311,1,You Got To Believe - Arty,created,Above & Beyond: Above & Beyond vs. Arty feat. Zo* Johnston - You Got To Believe,track_basic,-1
Arty,0.349947,0.582119,2,You Got To Believe - Arty,created,Above & Beyond: Above & Beyond vs. Arty feat. Zo* Johnston - You Got To Believe,artist,-1
You Got To Believe,0.376722,0.5311,1,You Got To Believe - Zo* Johnston,created,Above & Beyond: Above & Beyond vs. Arty feat. Zo* Johnston - You Got To Believe,track_basic,-1
Zo* Johnston,0.361625,0.562804,2,You Got To Believe - Zo* Johnston,created,Above & Beyond: Above & Beyond vs. Arty feat. Zo* Johnston - You Got To Believe,artist,-1
